industry_name,resume_category
"Abrasives and Nonmetallic Minerals Manufacturing",
"Accessible Architecture and Design",
"Accommodation and Food Services",
"Accounting",Accountant
"Administration of Justice",
"Administrative and Support Services",
"Advertising Services",Digital-Media
"Agricultural Chemical Manufacturing",Agriculture
"Agriculture, Construction, Mining Machinery Manufacturing",
"Air, Water, and Waste Program Management",
"Airlines and Aviation",Aviation
"Alternative Dispute Resolution",
"Alternative Fuel Vehicle Manufacturing",
"Alternative Medicine",
"Amusement Parks and Arcades",
"Animal Feed Manufacturing",
"Animation and Post-production",
"Apparel & Fashion",
"Apparel Manufacturing",Apparel
"Appliances, Electrical, and Electronics Manufacturing",
"Architectural and Structural Metal Manufacturing",
"Architecture and Planning",
"Armed Forces",
"Artists and Writers",
"Audio and Video Equipment Manufacturing",
"Automation Machinery Manufacturing",
"Automotive",Automobile
"Aviation & Aerospace",
"Aviation and Aerospace Component Manufacturing",
"Baked Goods Manufacturing",
"Banking",Banking
"Bed-and-Breakfasts, Hostels, Homestays",
"Beverage Manufacturing",
"Biotechnology",
"Biotechnology Research",
"Blockchain Services",
"Boilers, Tanks, and Shipping Container Manufacturing",
"Book and Periodical Publishing",
"Broadcast Media Production and Distribution",
"Building Construction",
"Building Equipment Contractors",
"Building Materials",
"Business Consulting and Services",Consultant
"Business Content",
"Business Intelligence Platforms",
"Capital Markets",
"Caterers",
"Chemical Manufacturing",
"Chemical Raw Materials Manufacturing",
"Civic and Social Organizations",
"Civil Engineering",
"Claims Adjusting, Actuarial Services",
"Climate Data and Analytics",
"Climate Technology Product Manufacturing",
"Collection Agencies",
"Commercial Real Estate",
"Commercial and Industrial Equipment Rental",
"Commercial and Service Industry Machinery Manufacturing",
"Communications Equipment Manufacturing",
"Community Development and Urban Planning",
"Community Services",
"Computer Games",
"Computer Hardware",
"Computer Hardware Manufacturing",
"Computer Networking",
"Computer Networking Products",
"Computer and Network Security",
"Computers and Electronics Manufacturing",
"Conservation Programs",
"Construction",Construction
"Construction Hardware Manufacturing",
"Consumer Electronics",
"Consumer Goods",
"Consumer Goods Rental",
"Consumer Services",
"Correctional Institutions",
"Cosmetics",
"Courts of Law",
"Credit Intermediation",
"Dairy",
"Dairy Product Manufacturing",
"Data Infrastructure and Analytics",
"Data Security Software Products",
"Defense & Space",
"Defense and Space Manufacturing",
"Dentists",
"Design",
"Design Services",Designer
"Desktop Computing Software Products",
"Digital Accessibility Services",
"E-Learning Providers",
"E-learning",
"Economic Programs",
"Education",
"Education Administration Programs",
"Education Management",
"Electric Lighting Equipment Manufacturing",
"Electric Power Generation",
"Electric Power Transmission, Control, and Distribution",
"Electrical Equipment Manufacturing",
"Engineering Services",
"Engines and Power Transmission Equipment Manufacturing",
"Entertainment",
"Entertainment Providers",
"Environmental Quality Programs",
"Environmental Services",
"Equipment Rental Services",
"Events Services",
"Executive Offices",
"Executive Search Services",
"Fabricated Metal Products",
"Facilities Services",
"Farming",
"Farming, Ranching, Forestry",
"Fashion Accessories Manufacturing",
"Financial Services",Finance
"Fine Art",
"Fire Protection",
"Fisheries",
"Food & Beverages",
"Food Production",
"Food and Beverage Manufacturing",
"Food and Beverage Retail",
"Food and Beverage Services",
"Footwear Manufacturing",
"Forestry and Logging",
"Freight and Package Transportation",
"Fundraising",
"Funds and Trusts",
"Furniture",
"Furniture and Home Furnishings Manufacturing",
"Gambling Facilities and Casinos",
"Glass Product Manufacturing",
"Glass, Ceramics and Concrete Manufacturing",
"Golf Courses and Country Clubs",
"Government Administration",
"Government Relations Services",
"Graphic Design",Designer
"Ground Passenger Transportation",
"HVAC and Refrigeration Equipment Manufacturing",
"Health and Human Services",
"Health, Wellness & Fitness",
"Higher Education",Teacher
"Holding Companies",
"Home Health Care Services",
"Horticulture",
"Hospitality",
"Hospitals",
"Hospitals and Health Care",Healthcare
"Hotels and Motels",
"Household Services",
"Household and Institutional Furniture Manufacturing",
"Housing Programs",
"Housing and Community Development",
"Human Resources",
"Human Resources Services",HR
"IT Services and IT Consulting",Information-Technology
"IT System Custom Software Development",
"IT System Data Services",
"IT System Design Services",
"IT System Installation and Disposal",
"IT System Operations and Maintenance",
"IT System Testing and Evaluation",
"IT System Training and Support",
"Individual and Family Services",
"Industrial Automation",
"Industrial Machinery Manufacturing",
"Information Services",
"Information Technology & Services",
"Insurance",Finance
"Insurance Agencies and Brokerages",
"Insurance Carriers",
"Insurance and Employee Benefit Funds",
"Interior Design",
"International Affairs",
"International Trade and Development",
"Internet Marketplace Platforms",
"Internet News",
"Internet Publishing",
"Investment Advice",
"Investment Banking",
"Investment Management",
"Janitorial Services",
"Landscaping Services",
"Law Enforcement",
"Law Practice",Advocate
"Leasing Non-residential Real Estate",
"Legal Services",Advocate
"Legislative Offices",
"Leisure, Travel & Tourism",
"Libraries",
"Loan Brokers",
"Luxury Goods & Jewelry",
"Machinery Manufacturing",
"Magnetic and Optical Media Manufacturing",
"Manufacturing",
"Maritime",
"Maritime Transportation",
"Market Research",
"Marketing Services",
"Mattress and Blinds Manufacturing",
"Measuring and Control Instrument Manufacturing",
"Meat Products Manufacturing",
"Mechanical Or Industrial Engineering",
"Media Production",
"Medical Device",
"Medical Equipment Manufacturing",
"Medical Practices",
"Medical and Diagnostic Laboratories",
"Mental Health Care",
"Metal Treatments",
"Metal Valve, Ball, and Roller Manufacturing",
